,data,temp_celsius,turbidez_ntu
99,2025-04-10,19.35,4.24
100,2025-04-11,17.77,4.01
101,2025-04-12,18.81,6.09
102,2025-04-13,18.76,6.55
103,2025-04-14,18.05,3.44
104,2025-04-15,18.68,3.36
105,2025-04-16,19.21,3.91
106,2025-04-17,20.85,1.42
107,2025-04-18,18.66,2.1
108,2025-04-19,18.62,8.88
109,2025-04-20,18.09,10.2
110,2025-04-21,15.75,3.96
111,2025-04-22,,5.98
112,2025-04-23,17.88,5.24
113,2025-04-24,,20.89
114,2025-04-25,17.34,7.84
115,2025-04-26,17.83,4.2
116,2025-04-27,17.32,2.78
117,2025-04-28,15.86,2.01
118,2025-04-29,18.54,4.96
119,2025-04-30,17.98,3.07
120,2025-05-01,17.94,2.2
121,2025-05-02,15.82,3.24
122,2025-05-03,18.52,2.61
123,2025-05-04,15.08,10.42
124,2025-05-05,17.4,6.96
125,2025-05-06,19.27,4.46
126,2025-05-07,15.4,9.39
127,2025-05-08,15.86,4.66
128,2025-05-09,16.61,2.91
129,2025-05-10,15.85,9.6
130,2025-05-11,14.56,5.87
131,2025-05-12,16.48,2.67
132,2025-05-13,15.11,4.07
133,2025-05-14,16.93,2.89
134,2025-05-15,15.26,2.24
135,2025-05-16,18.22,7.12
136,2025-05-17,,11.64
137,2025-05-18,,2.23
138,2025-05-19,17.36,5.94
139,2025-05-20,14.93,3.24
140,2025-05-21,16.71,3.51
141,2025-05-22,18.04,3.33
142,2025-05-23,14.58,2.91
143,2025-05-24,16.78,4.59
144,2025-05-25,16.92,2.96
145,2025-05-26,17.6,5.13
146,2025-05-27,15.24,4.37
147,2025-05-28,15.21,3.98
148,2025-05-29,17.5,2.85
149,2025-05-30,17.3,3.36
150,2025-05-31,17.33,6.54
151,2025-06-01,17.54,5.76
152,2025-06-02,16.4,2.75
153,2025-06-03,17.6,4.71
154,2025-06-04,17.78,52.2
155,2025-06-05,16.68,1.95
156,2025-06-06,19.89,5.88
157,2025-06-07,18.34,3.22
158,2025-06-08,16.47,5.96
159,2025-06-09,18.81,3.06
160,2025-06-10,16.99,1.82
161,2025-06-11,19.24,1.99
162,2025-06-12,19.83,4.59
163,2025-06-13,17.6,5.1
164,2025-06-14,19.89,2.85
165,2025-06-15,19.38,6.17
166,2025-06-16,20.02,1.95
167,2025-06-17,21.47,4.34
168,2025-06-18,19.06,2.45
169,2025-06-19,18.62,3.24
170,2025-06-20,18.62,4.59
171,2025-06-21,18.88,2.91
172,2025-06-22,19.94,3.7
173,2025-06-23,20.61,7.41
174,2025-06-24,20.71,3.36
175,2025-06-25,21.55,6.81
176,2025-06-26,20.75,2.55
177,2025-06-27,22.66,5.84
178,2025-06-28,20.77,9.21
179,2025-06-29,24.54,1.3
180,2025-06-30,22.21,3.01
181,2025-07-01,20.61,5.98
182,2025-07-02,20.53,4.05
183,2025-07-03,22.58,5.4
184,2025-07-04,21.92,3.31
185,2025-07-05,23.22,4.68
186,2025-07-06,23.12,4.15
187,2025-07-07,22.64,8.04
188,2025-07-08,21.89,5.09
189,2025-07-09,21.27,5.31
190,2025-07-10,22.73,3.65
191,2025-07-11,24.47,3.51
192,2025-07-12,23.87,3.61
193,2025-07-13,22.29,5.46
194,2025-07-14,24.16,3.63
195,2025-07-15,24.58,5.18
196,2025-07-16,23.22,12.65
197,2025-07-17,24.63,6.93
198,2025-07-18,24.67,3.81
199,2025-07-19,48.39,8.17
200,2025-07-20,25.34,3.65
201,2025-07-21,25.73,1.62
202,2025-07-22,26.5,2.71
203,2025-07-23,26.61,1.76
204,2025-07-24,23.83,3.76
205,2025-07-25,24.49,4.52
206,2025-07-26,26.36,10.36
207,2025-07-27,26.49,5.28
208,2025-07-28,26.61,4.02
209,2025-07-29,30.73,6.78
210,2025-07-30,26.9,1.48
211,2025-07-31,27.68,5.04
212,2025-08-01,27.57,6.59
213,2025-08-02,27.3,2.14
214,2025-08-03,26.23,7.94
215,2025-08-04,27.6,5.31
216,2025-08-05,25.84,3.64
217,2025-08-06,26.56,6.15
218,2025-08-07,26.33,13.95
219,2025-08-08,27.07,4.91
220,2025-08-09,29.81,5.07
221,2025-08-10,24.84,3.56
222,2025-08-11,27.95,2.93
223,2025-08-12,,6.79
224,2025-08-13,26.64,2.92
225,2025-08-14,28.54,4.64
226,2025-08-15,27.33,3.53
227,2025-08-16,25.98,5.69
228,2025-08-17,26.42,5.3
229,2025-08-18,53.1,7.53
230,2025-08-19,26.4,3.47
231,2025-08-20,27.53,3.92
232,2025-08-21,,2.75
233,2025-08-22,26.46,3.59
234,2025-08-23,29.79,5.41
235,2025-08-24,27.94,6.54
236,2025-08-25,24.72,2.83
237,2025-08-26,27.33,6.92
238,2025-08-27,26.26,8.83
239,2025-08-28,28.02,5.51
240,2025-08-29,25.99,11.45
241,2025-08-30,26.74,3.04
242,2025-08-31,27.41,2.41
243,2025-09-01,27.77,1.84
244,2025-09-02,25.21,75.75
245,2025-09-03,26.16,6.22
246,2025-09-04,25.9,4.36
247,2025-09-05,25.6,5.16
248,2025-09-06,28.4,2.55
249,2025-09-07,26.66,15.22
250,2025-09-08,24.55,4.78
251,2025-09-09,27.05,4.73
252,2025-09-10,28.38,6.44
253,2025-09-11,26.95,5.7
254,2025-09-12,23.77,5.01
255,2025-09-13,24.88,3.02
256,2025-09-14,26.85,5.67
257,2025-09-15,24.34,11.48
258,2025-09-16,,8.78
259,2025-09-17,25.84,9.94
260,2025-09-18,23.66,3.47
261,2025-09-19,24.55,2.73
262,2025-09-20,20.58,4.21
263,2025-09-21,23.09,4.61
264,2025-09-22,23.87,7.75
265,2025-09-23,,1.92
266,2025-09-24,,9.63
267,2025-09-25,21.98,4.14
268,2025-09-26,23.01,3.62
269,2025-09-27,23.54,2.7
270,2025-09-28,24.95,1.96
271,2025-09-29,21.33,6.76
272,2025-09-30,24.29,4.65
273,2025-10-01,22.74,2.35
274,2025-10-02,21.39,2.35
275,2025-10-03,22.96,3.79
276,2025-10-04,22.48,10.32
277,2025-10-05,21.36,3.94
278,2025-10-06,22.0,2.11
279,2025-10-07,21.3,3.96
280,2025-10-08,21.74,3.91
281,2025-10-09,22.24,1.16
282,2025-10-10,23.19,4.36
283,2025-10-11,19.65,3.99
284,2025-10-12,23.55,6.35
285,2025-10-13,18.49,11.3
286,2025-10-14,20.51,7.87
287,2025-10-15,21.25,3.92
288,2025-10-16,20.74,2.58
289,2025-10-17,19.52,16.23
290,2025-10-18,19.88,4.62
291,2025-10-19,19.41,4.51
292,2025-10-20,19.16,4.43
293,2025-10-21,20.77,4.95
294,2025-10-22,20.05,4.17
295,2025-10-23,18.68,3.36
296,2025-10-24,20.47,3.41
297,2025-10-25,,4.41
298,2025-10-26,20.16,3.42
299,2025-10-27,19.84,3.14
300,2025-10-28,17.99,4.73
301,2025-10-29,18.22,3.95
302,2025-10-30,19.71,9.51
303,2025-10-31,19.46,1.19
304,2025-11-01,18.63,7.73
305,2025-11-02,18.72,8.36
306,2025-11-03,20.05,1.59
307,2025-11-04,17.75,3.78
308,2025-11-05,19.06,3.72
309,2025-11-06,18.11,2.22
310,2025-11-07,18.05,3.04
311,2025-11-08,,2.57
312,2025-11-09,19.24,10.76
313,2025-11-10,19.2,7.16
314,2025-11-11,19.77,8.46
315,2025-11-12,18.21,6.43
316,2025-11-13,19.0,2.55
317,2025-11-14,17.8,3.45
318,2025-11-15,18.57,5.72
319,2025-11-16,18.03,19.46
320,2025-11-17,18.32,6.4
321,2025-11-18,18.94,3.97
322,2025-11-19,17.27,3.72
323,2025-11-20,20.8,6.39
324,2025-11-21,17.12,5.6
325,2025-11-22,16.92,3.74
326,2025-11-23,19.82,8.0
327,2025-11-24,19.43,2.61
328,2025-11-25,,6.1
329,2025-11-26,19.37,6.03
330,2025-11-27,18.67,3.84
331,2025-11-28,17.69,5.28
332,2025-11-29,18.94,2.4
333,2025-11-30,18.13,7.11
334,2025-12-01,20.21,4.09
335,2025-12-02,18.96,3.45
336,2025-12-03,18.25,7.57
337,2025-12-04,,3.15
338,2025-12-05,19.97,2.22
339,2025-12-06,18.91,2.06
340,2025-12-07,18.73,6.07
341,2025-12-08,20.14,2.36
342,2025-12-09,20.27,10.78
343,2025-12-10,19.51,1.58
344,2025-12-11,19.69,10.47
345,2025-12-12,20.68,4.98
346,2025-12-13,18.81,4.27
347,2025-12-14,,3.41
348,2025-12-15,19.99,5.47
349,2025-12-16,20.76,4.4
350,2025-12-17,21.55,7.78
351,2025-12-18,23.11,4.75
352,2025-12-19,,4.83
353,2025-12-20,21.48,3.74
354,2025-12-21,21.83,4.36
355,2025-12-22,20.82,5.23
356,2025-12-23,22.17,1.91
357,2025-12-24,22.03,2.28
358,2025-12-25,22.94,6.5
359,2025-12-26,21.74,4.88
360,2025-12-27,23.53,4.09
361,2025-12-28,24.93,4.52
362,2025-12-29,23.14,5.33
363,2025-12-30,23.94,3.42
364,2025-12-31,,3.04
